S	0	1377	*	*	*	*	*	aba:Acid345_3931	*
H	2	1419	55.8	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hic:NTHIC486_00286	bip:Bint_2781
H	2	1419	55.7	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hih:NF38_01615	bip:Bint_2781
H	2	1419	55.7	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hik:HifGL_000379	bip:Bint_2781
H	2	1419	55.8	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hit:NTHI0831	bip:Bint_2781
H	2	1419	55.7	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hiu:HIB_08350	bip:Bint_2781
H	2	1419	55.8	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hix:NTHI723_00998	bip:Bint_2781
H	2	1419	55.4	+	0	0	42D278M12D15M3D22M15D467M6D204M3I355M	hiz:R2866_1769	bip:Bint_2781
H	0	1341	55.9	+	0	0	22I40M4D1241M6D50M24I	hje:HacjB3_08945	aba:Acid345_3931
H	0	1347	58.0	+	0	0	18I1223M11I18M2D31M3I73M	hlc:CHINAEXTREME04645	aba:Acid345_3931
H	0	1347	57.9	+	0	0	18I1271M11I11MI65M	hlr:HALLA_19250	aba:Acid345_3931
H	0	1344	54.8	+	0	0	6I6M7I31M2D7M7I1249M15I15M3D31M3I	hma:rrnAC2439	aba:Acid345_3931
H	0	1347	59.3	+	0	0	18I581MI30MD686M6D43M18I	hme:HFX_0008	aba:Acid345_3931
H	0	1365	62.4	+	0	0	6I491M3I667M10D12M11D83M7I13M7D52M9D10M33I	hne:HNE_0810	aba:Acid345_3931
H	2	1389	63.5	+	0	0	39D301M3D1043M3D	hor:Hore_20900	bip:Bint_2781
H	0	1338	54.4	+	0	0	22I14MD1280M6D37M24I	hsf:HLASA_0008	aba:Acid345_3931
H	0	1347	59.0	+	0	0	18I469MD13MI349M3D460M6D46M21I	hsl:OE_4331R	aba:Acid345_3931
H	2	1416	56.0	+	0	0	42D314M30D469M6D203M3I339M3D10M6I	hsm:HSM_1270	bip:Bint_2781
H	2	1416	55.8	+	0	0	42D314M30D469M6D203M3I352M3I	hso:HS_0801	bip:Bint_2781
H	0	1338	54.4	+	0	0	22I14MD1280M6D37M24I	hsu:HLASF_0008	aba:Acid345_3931
H	0	1353	58.7	+	0	0	12I477MD7MI814M6D48M18I	htu:Htur_0018	aba:Acid345_3931
H	0	1347	59.4	+	0	0	18I1298M6D43M18I	hvo:HVO_0009	aba:Acid345_3931
H	0	1362	58.4	+	0	0	18I311M6D389M3D529MD29MI33M6D30M4I10M8I15M	hxa:Halxa_1429	aba:Acid345_3931
H	2	1380	60.6	+	0	0	39D785M4I27MD528M	ial:IALB_2618	bip:Bint_2781
H	0	1383	61.7	+	0	0	9D523M3I641M21D83M6D11MD14M7I52M4I22M17I	ica:Intca_0141	aba:Acid345_3931
H	0	1371	56.9	+	0	0	9I473M3D47M6I632M27D189M21I	kal:KALB_2889	aba:Acid345_3931
H	0	1416	51.9	+	0	0	4D15MI334M30D491M9D151M3I172M9D15M15D158M9I13M15I	kgo:CEW81_05195	aba:Acid345_3931
H	0	1416	52.6	+	0	0	4D13MI336M30D244M2D11MI11MI243M9D146M3I157M9D15M15D171M24I	kle:AO703_10280	aba:Acid345_3931
H	0	1389	57.4	+	0	0	6I321M3D8M6D16M3D450M3D366M24D173M4I16M17I	koc:AB185_32730	aba:Acid345_3931
H	0	1389	57.3	+	0	0	6I321M3D8M6D16M3D450M3D366M24D173M4I16M17I	koe:A225_0649	aba:Acid345_3931
H	0	1389	57.7	+	0	0	6I321M3D8M6D16M3D74MI32MD343M3D366M24D173M4I16M17I	kok:KONIH1_03450	aba:Acid345_3931
H	0	1389	57.7	+	0	0	6I321M3D8M6D16M3D74MI32MD343M3D366M24D173M4I16M17I	kom:HR38_08450	aba:Acid345_3931
H	0	1389	57.7	+	0	0	6I321M3D8M6D16M3D74MI32MD343M3D366M24D173M4I16M17I	kox:KOX_09730	aba:Acid345_3931
H	0	1389	57.7	+	0	0	6I321M3D8M6D16M3D74MI32MD343M3D366M24D173M4I16M17I	koy:J415_28015	aba:Acid345_3931
H	0	1371	55.2	+	0	0	6I8M3I1163M27D173M24I	kphy:AOZ06_19335	aba:Acid345_3931
H	0	1371	58.0	+	0	0	18I428M3I76MD9M2D632M27D168M6I28M9I	ksk:KSE_04600	aba:Acid345_3931
H	2	1482	53.5	+	0	0	105D314M30D465M5D25MD152M3I385M	lag:N175_11350	bip:Bint_2781
H	2	1416	51.5	+	0	0	42D311M30D480M5D31MD134M3I382M3I	lax:APT61_22105	bip:Bint_2781
H	2	1371	57.3	+	0	0	33D778M3I560M3I	lby:Lbys_1646	bip:Bint_2781
H	0	1359	57.1	+	0	0	18I485M6I657M27D179MD10M22I	led:BBK82_44630	aba:Acid345_3931
H	0	1419	59.8	+	0	0	25D12M2D508M3I657M24D94MI26MD33MI37M5I	lpil:LIP_0995	aba:Acid345_3931
H	2	1377	62.0	+	0	0	36D786M3I477M3D75M3I	lut:Lupro_11550	bip:Bint_2781
H	0	1449	50.9	+	0	0	45D18M9I27M15I720M3I359M15D23M6D122M3I25M4D30M10D23M22D	magn:WV31_12030	aba:Acid345_3931
H	0	1449	51.3	+	0	0	45D18M9I27M15I720M3I359M15D23M6D122M3I25M4D30M10D23M22D	magx:XM1_0733	aba:Acid345_3931
H	5	2745	54.8	+	0	0	20M2D52M8I396M20I23MI17M9I107M3D21M3I53M3I693M3D179MI18M5D21M11D124M2I21M4I123M12D136M6D20M8D23M2I162M3I65M6D30M2I54M7I44M2D15M14I78MI7M2I17M3I117M3I51M93I	maj:MAA_10321	ela:UCREL1_916
H	5	2757	54.2	+	0	0	13D19MD53M8I403M18I35M12I105M3D21M3I52M3I694M3D227M15D101M3D39M9I118M12D137M6D31M6D47M2I29M2D93M3I71M8I27M3D23M2D76M2D15M14I49M2D16MD22M6I12M3I117M3I51M93I	maw:MAC_08116	ela:UCREL1_916
H	2	1386	63.3	+	0	0	39D293M3D1051M	mbj:KQ51_01254	bip:Bint_2781
H	0	1371	62.0	+	0	0	6I1165M24D166MI16M23I	mbry:B1812_17480	aba:Acid345_3931
H	0	1371	67.4	+	0	0	6I1165M24D182M24I	mhd:Marky_1642	aba:Acid345_3931
H	0	1398	54.9	+	0	0	6I333M13D8M8D466M3D353M24D83M2D27M2I78M21I	mmk:MU9_1101	aba:Acid345_3931
H	0	1386	61.2	+	0	0	6M3D1163M27D187M21I	mro:MROS_0698	aba:Acid345_3931
H	0	1425	61.4	+	0	0	42D319MD28MI822M27D186M21I	msc:BN69_2860	aba:Acid345_3931
H	0	1395	55.7	+	0	0	593M3I16M3D562M27D97M4I11M11I39M11D36M5I	msd:MYSTI_00930	aba:Acid345_3931
H	0	1371	62.9	+	0	0	6I419M2D22M7I6M5D706M24D175MI12M23I	mtw:CQW49_09160	aba:Acid345_3931
H	2	1419	54.6	+	0	0	42D314M30D508M6D134M3I385M	mvr:X781_900	bip:Bint_2781
H	2	1371	55.1	+	0	0	33D274M2I15MD24M2I11M3D118M4D34M7I299M4I34MD321M6I185M3D8M3D	mvs:MVIS_2967	bip:Bint_2781
H	0	1380	56.8	+	0	0	18I1283M6D76M15D	nat:NJ7G_0476	aba:Acid345_3931
H	0	1389	61.4	+	0	0	6D523M3I640M21D174M9I25M3I	nca:Noca_1624	aba:Acid345_3931
H	0	1344	56.5	+	0	0	18I1292M6D31M13I15M8I	nge:Natgr_1589	aba:Acid345_3931
H	0	1407	58.8	+	0	0	15M6I1153M27D203M9D	nja:NSJP_0536	aba:Acid345_3931
H	0	1353	57.2	+	0	0	18I1292M6D31M12I24M	nmg:Nmag_1937	aba:Acid345_3931
H	0	1404	61.1	+	0	0	5D10M11I404MI25MD723M27D203M6D	nmv:NITMOv2_0067	aba:Acid345_3931
H	0	1353	57.4	+	0	0	18I1298M6D25M7I24M5I	nou:Natoc_0009	aba:Acid345_3931
H	0	1347	58.3	+	0	0	18I1285M6D56M18I	npe:Natpe_0008	aba:Acid345_3931
H	0	1377	60.5	+	0	0	7M3I1159M24D187M21I	nso:NIASO_14125	aba:Acid345_3931
H	2	1389	64.1	+	0	0	51D478M3I297M3I563M	nth:Nther_2022	bip:Bint_2781
H	0	1482	52.2	+	0	0	78D72M24I601M6D12M4I76M5I367M21D187M11D29M22D	obt:OPIT5_12280	aba:Acid345_3931
H	1	1455	63.4	+	0	0	11I12M2D1441M	ofo:BRW83_0351	asx:CDL62_16620
H	0	1371	66.1	+	0	0	6I421MI34MD705M24D167MI19M23I	opr:Ocepr_1720	aba:Acid345_3931
H	2	1380	59.5	+	0	0	36D777M3I477M3D87M	osp:Odosp_1832	bip:Bint_2781
H	0	1470	51.9	+	0	0	52D60M10I683M2I12MI378M15D25M6D179MI26M34D	ote:Oter_0376	aba:Acid345_3931
H	0	1377	54.9	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pac:PPA1068	aba:Acid345_3931
H	0	1377	54.9	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pacc:PAC1_05600	aba:Acid345_3931
H	0	1377	55.0	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pach:PAGK_1083	aba:Acid345_3931
H	0	1377	54.9	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pacn:TIA1EST1_05245	aba:Acid345_3931
H	0	1377	54.7	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D176M21I	pad:TIIST44_09280	aba:Acid345_3931
H	0	1380	55.2	+	0	0	10M3I1137M18D20M6D64M3I14MI48M7D56M21I	pah:Poras_0335	aba:Acid345_3931
H	2	1425	52.8	+	0	0	48D314M30D464M3I16M9D182M3I362M	paj:PAJ_3278	bip:Bint_2781
H	0	1377	55.0	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pak:HMPREF0675_4128	aba:Acid345_3931
H	1	1404	50.8	+	0	0	37I15M2I310M17D19M7D193M2I15M2D221M3D29M3D360M3D199MD7M55I	pala:CO695_07390	asx:CDL62_16620
H	2	1416	52.9	+	0	0	42D314M30D477M5D32MD156M3I347M3D9M6I	palh:B1H58_12595	bip:Bint_2781
H	0	1425	51.4	+	0	0	9D350M30D478M8D18MD134M3I195M24D178M21I	pam:PANA_0116	aba:Acid345_3931
H	5	2442	60.6	+	0	0	324I16M9D156M5I26M10I191M3I919M3I428M3D222M18D185M9I202M3I49M4D14M103I	pan:PODANSg724	ela:UCREL1_916
H	2	1419	52.8	+	0	0	42D314M30D464M3I16M9D182M3I362M	paq:PAGR_g4160	bip:Bint_2781
H	0	1377	55.1	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pav:TIA2EST22_05315	aba:Acid345_3931
H	0	1377	54.9	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	paw:PAZ_c11120	aba:Acid345_3931
H	0	1377	55.0	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pax:TIA2EST36_05285	aba:Acid345_3931
H	0	1377	55.1	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	paz:TIA2EST2_05225	aba:Acid345_3931
H	1	1449	64.1	+	0	0	13I6M2I1443M	pbt:ING2E5B_1329	asx:CDL62_16620
H	0	1401	54.5	+	0	0	6I320M22D10M2D158MD27M3I13M2D263M3D366M24D190M21I	pcc:PCC21_036110	aba:Acid345_3931
H	0	1377	55.0	+	0	0	6I330M3D187M3I295M3D330M3D15M4D14M17D66M11D48M11I51M21I	pcn:TIB1ST10_05480	aba:Acid345_3931
H	2	1380	56.8	+	0	0	36D780M3I462M4D22MI76M	pet:PEIBARAKI_0314	bip:Bint_2781
H	2	1392	62.1	+	0	0	39D789M3D484M3D71M3D	pft:JBW_04294	bip:Bint_2781
H	0	1407	54.6	+	0	0	6I320M24D491M3D349M14D14M10D160M4I22M11I	pgb:H744_1c0148	aba:Acid345_3931
H	0	1380	54.3	+	0	0	5D13M8I476MD24MI658M24D98M3D78M21I	pgi:PG_1401	aba:Acid345_3931
H	0	1380	54.2	+	0	0	5D13M8I476MD24MI658M24D98M3D78M21I	pgn:PGN_0880	aba:Acid345_3931
H	0	1380	54.6	+	0	0	5D13M8I476MD24MI658M24D98M3D78M21I	pgt:PGTDC60_2059	aba:Acid345_3931
H	0	1377	53.9	+	0	0	5D24M8I477M3I655M9D13M15D103M3D73M21I	pit:PIN17_A1377	aba:Acid345_3931
H	2	1422	53.0	+	0	0	45D314M30D464M3I16M9D182M3I362M	plf:PANA5342_4311	bip:Bint_2781
H	2	1401	61.1	+	0	0	33D299M6D8M18D1037M	plu:plu0799	bip:Bint_2781
H	0	1371	53.8	+	0	0	6I421M6I733M13D15M14D69M2I12M5I15M6D16MD56M21I	pmad:BAY61_22865	aba:Acid345_3931
H	2	1386	68.2	+	0	0	39D306M3D1038M	pmo:Pmob_0309	bip:Bint_2781
H	2	1416	54.2	+	0	0	42D319M30D463M6D204M3I352M3I	pmp:Pmu_16710	bip:Bint_2781
H	2	1416	54.2	+	0	0	42D319M30D463M6D204M3I352M3I	pmu:PM1420	bip:Bint_2781
H	1	1449	62.8	+	0	0	13I5M2I1444M	pmuc:ING2E5A_1495	asx:CDL62_16620
H	2	1416	54.2	+	0	0	42D319M30D463M6D204M3I352M3I	pmul:DR93_274	bip:Bint_2781
H	2	1416	54.2	+	0	0	42D319M30D463M6D204M3I352M3I	pmv:PMCN06_1678	bip:Bint_2781
H	1	1449	64.2	+	0	0	13I6M2I1443M	ppn:Palpr_1828	asx:CDL62_16620
H	2	1443	57.0	+	0	0	75D306M24D1038M	ppr:PBPRA1344	bip:Bint_2781
H	2	1404	59.9	+	0	0	36D314M24D1030M	prg:RB151_038050	bip:Bint_2781
H	2	1377	56.3	+	0	0	33D306M3D171M3I864M	prl:BCB70_01960	bip:Bint_2781
H	1	1449	65.4	+	0	0	15I1449M	psac:PSM36_1292	asx:CDL62_16620
H	0	1389	57.8	+	0	0	5M3I334M6D6M6D477M3D340M13D15M11D173M24I	pse:NH8B_1029	aba:Acid345_3931
H	0	1401	54.9	+	0	0	6I321M10D22M14D474M3D328M11D18M3D11M10D176M21I	psf:PSE_p0052	aba:Acid345_3931
H	0	1461	52.7	+	0	0	8D16M5I329M30D491M9D151M3I168M17D19M7D154M8D11M4D17M9D13M	pshi:SAMEA2665130_0893	aba:Acid345_3931
H	2	1404	59.0	+	0	0	36D303M24D1041M	psi:S70_13785	bip:Bint_2781
H	2	1404	59.4	+	0	0	36D285MI18M19D11M6D1029M	psta:BGK56_16230	bip:Bint_2781
H	2	1407	53.2	+	0	0	33D311M30D468MD12M4D31MD134M3I369M3D10M6I	pstw:DSJ_22365	bip:Bint_2781
H	0	1398	55.7	+	0	0	11M3I322M21D514M3D317M24D186M24I	psw:LK03_10530	aba:Acid345_3931
H	2	1404	58.8	+	0	0	36D303M24D1041M	psx:DR96_507	bip:Bint_2781
H	2	1401	61.5	+	0	0	33D300M6D7M18D1037M	ptt:VY86_04110	bip:Bint_2781
H	2	1383	60.5	+	0	0	33D302M3D1042M3D	puf:UFO1_0888	bip:Bint_2781
H	2	1416	54.2	+	0	0	42D319M30D463M6D204M3I352M3I	pul:NT08PM_1733	bip:Bint_2781
H	0	1377	62.4	+	0	0	7M3I497M3I659M13D4M11D89M2D22M2I45MI12M4I16M13I	rac:RA876_07355	aba:Acid345_3931
H	0	1377	64.5	+	0	0	6I494M3I664M21D167M3I31M9I	rbar:AWN76_012460	aba:Acid345_3931
H	1	1449	61.8	+	0	0	15I1449M	rbc:BN938_2021	asx:CDL62_16620
H	0	1371	61.4	+	0	0	6I519M3I639M21D164M9I28M9I	rbn:RBXJA2T_17611	aba:Acid345_3931
H	0	1446	52.6	+	0	0	9D93M9D696M3I152MD24MI192M15D13M6D73M2D22M2I70MI28M2D7M32D	rcp:RCAP_rcc00516	aba:Acid345_3931
H	0	1371	62.9	+	0	0	7M3I497M3I294M6D27M6I332M13D6M11D91M2D19M2I44MI22M23I	rfr:Rfer_2475	aba:Acid345_3931
H	0	1371	61.7	+	0	0	6I519M3I639M21D164M9I28M9I	rge:RGE_20590	aba:Acid345_3931
H	0	1449	51.2	+	0	0	7M3D4M3D29M12D6M2I22M5D719M3I152MD24MI189M10D15M11D135M11D69M22D	rhm:B5V46_07690	aba:Acid345_3931
H	0	1410	58.2	+	0	0	14M6D336M12D136M3I681M24D201M6I	rlt:Rleg2_4875	aba:Acid345_3931
H	0	1368	63.8	+	0	0	6I496M3I661M21D82M9D25M9I74M21I	rmg:Rhom172_0915	aba:Acid345_3931
H	0	1368	64.0	+	0	0	6I496M3I661M21D77M9D30M9I74M21I	rmr:Rmar_1948	aba:Acid345_3931
H	0	1389	56.9	+	0	0	6I321M3D8M6D16M3D470M6I31M9D309M24D173M4I16M17I	ror:RORB6_15790	aba:Acid345_3931
H	0	1449	51.8	+	0	0	28D62M7I719M3I367M10D15M11D150MD11M6I37M38D	rpa:RPA3564	aba:Acid345_3931
H	0	1449	51.0	+	0	0	12D38M9D750M3I370M21D180MI35M34D	rpb:RPB_1966	aba:Acid345_3931
H	0	1449	52.3	+	0	0	12D38M9D750M3I355M19D26M2D75M2D34M5I27M7I25M3I29M46D	rpc:RPC_2787	aba:Acid345_3931
H	0	1449	51.9	+	0	0	12D38M9D750M3I367M10D15M11D74M2D34M5I42M10I39M46D	rpd:RPD_3423	aba:Acid345_3931
H	0	1449	52.0	+	0	0	22D18MI770M3I366M10D15M11D134M11D70M22D	rpe:RPE_2915	aba:Acid345_3931
H	0	1476	50.7	+	0	0	58D20M3I58M7I718M3I337M3I16M6D9M18D73M2D37M3I25M2D52MD13M31D	rpm:RSPPHO_03014	aba:Acid345_3931
H	0	1449	52.0	+	0	0	28D64MI4M6I713M3I367M10D15M11D150MD11M6I37M38D	rpt:Rpal_4083	aba:Acid345_3931
H	0	1449	51.9	+	0	0	12D38M9D750M3I367M10D15M11D74M2D22M2I52MD11M6I37M38D	rpx:Rpdx1_1790	aba:Acid345_3931
H	0	1446	51.9	+	0	0	9D91M9D698M3I359MD21M20D75M2D22M2I76M8D16M2I12M27D	rsq:Rsph17025_3640	aba:Acid345_3931
H	0	1449	51.1	+	0	0	5M3D16M3D19M12D6M2I22M5D718M3I153MD24MI189M10D15M11D134M11D70M22D	rsu:NHU_02389	aba:Acid345_3931
H	0	1449	52.1	+	0	0	15D21M3I67M9D698M3I366M15D16M6D180MI22M34D	rva:Rvan_2623	aba:Acid345_3931
H	0	1377	60.6	+	0	0	6I1157M21D15M6D178M21I	saci:Sinac_1688	aba:Acid345_3931
H	0	1368	55.1	+	0	0	39I790M18D482M6D43M6D23M	sali:L593_14215	aba:Acid345_3931
H	1	1446	55.4	+	0	0	18I1446M	sat:SYN_01455	asx:CDL62_16620
H	0	1374	59.2	+	0	0	18I1160M27D149M12I9MI28MD	sauo:BV401_19575	aba:Acid345_3931
H	0	1416	51.7	+	0	0	4D15MI334M30D478M8D17MD163M3I156M24D96M2D14M2I61M12I13M12I	sbc:SbBS512_E4214	aba:Acid345_3931
H	0	1347	55.7	+	0	0	42I940MD15MI168M27D187M2I9M13I	sen:SACE_1957	aba:Acid345_3931
H	2	1416	52.6	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sfe:SFxv_4081	bip:Bint_2781
H	2	1416	52.5	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sfl:SF3754	bip:Bint_2781
H	2	1416	52.6	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sfn:SFy_5348	bip:Bint_2781
H	2	1416	52.6	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sfs:SFyv_5419	bip:Bint_2781
H	2	1416	52.5	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sft:NCTC1_04050	bip:Bint_2781
H	2	1416	52.5	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sfv:SFV_3805	bip:Bint_2781
H	2	1416	52.5	+	0	0	42D314M30D465MD42M5D158M3I359M3I	sfx:S4017	bip:Bint_2781
H	0	1395	61.7	+	0	0	6I1164M24D207M	sli:Slin_0829	aba:Acid345_3931
H	0	1374	59.2	+	0	0	18I1160M27D149M12I9MI28MD	smal:SMALA_3214	aba:Acid345_3931
H	0	1398	52.0	+	0	0	6I326M10D31M14D488M3D315M14D12M10D175M24I	spsw:Sps_01497	aba:Acid345_3931
H	0	1374	59.7	+	0	0	18I1160M27D147MD39M13I	src:M271_29125	aba:Acid345_3931
H	0	1422	63.2	+	0	0	502M3I662M10D13M11D185MI11M28D	srm:SRM_01915	aba:Acid345_3931
H	0	1416	63.1	+	0	0	6I496M3I662M10D13M11D185MI11M28D	sru:SRU_1708	aba:Acid345_3931
H	0	1398	53.1	+	0	0	6I320M3D9M7D28M14D447M3D356M24D96MI37MD53M24I	sse:Ssed_3916	aba:Acid345_3931
H	0	1374	58.7	+	0	0	18I1148M27D164MD34M13I	ssia:A7J05_03675	aba:Acid345_3931
H	2	1383	62.5	+	0	0	39D1344M	ssm:Spirs_0133	bip:Bint_2781
H	0	1365	58.0	+	0	0	12M9I292M3D121M6I740M24D173M24I	sth:STH439	aba:Acid345_3931
H	0	1347	67.4	+	0	0	6I1256M4I21M4D66M24I	sus:Acid_6369	aba:Acid345_3931
H	0	1383	56.8	+	0	0	18I12M9D1150M27D147M12I38M	svi:Svir_37510	aba:Acid345_3931
H	0	1389	55.9	+	0	0	11M3I335M12D455M3I43M6D317M13D13M11D173M24I	svl:Strvi_6349	aba:Acid345_3931
H	0	1398	57.1	+	0	0	6I5M3I330M3D162M2D21M2I285M3D337M3D9M7D20M14D165M3I29M3D	tab:CIG75_15650	aba:Acid345_3931
H	2	1383	63.4	+	0	0	36D292M3D1052M	tae:TepiRe1_2524	bip:Bint_2781
H	0	1395	56.6	+	0	0	1174M27D109M3D41M4I18M5D18M13I	tai:Taci_0642	aba:Acid345_3931
H	0	1449	52.3	+	0	0	23D15M2I804MI21M2I313M10D15M11D74M3I74M4D9M2I42M34D	tcl:Tchl_2494	aba:Acid345_3931
H	2	1380	64.4	+	0	0	36D1344M	tde:TDE0251	bip:Bint_2781
H	2	1383	63.4	+	0	0	36D292M3D1052M	tep:TepRe1_2348	bip:Bint_2781
H	1	1350	52.2	+	0	0	102I432MI30M2I184M6I704M3I	thg:TCELL_0288	asx:CDL62_16620
H	2	1392	55.2	+	0	0	39D480M3I292M3I353M3D113M2D41MD20M6D32M2D7MD	tli:Tlie_1330	bip:Bint_2781
H	0	1515	57.0	+	0	0	73D11M5D335M5D9M25D444M6D32M3I332M24D180M3D6MD24MI	tmo:TMO_c0531	aba:Acid345_3931
H	0	1449	51.4	+	0	0	27D35M6I748M3I354M19D26M2D173M6D32M27D	tmz:Tmz1t_1789	aba:Acid345_3931
H	0	1383	56.2	+	0	0	5M6D172M6I631M3D347MI18M25D176M21I	toc:Toce_0634	aba:Acid345_3931
H	0	1380	57.2	+	0	0	10M3I1167M24D98M2D32MD23MI23M20I	toh:BCB71_06605	aba:Acid345_3931
H	2	1392	65.6	+	0	0	48D1344M	tped:TPE_1510	bip:Bint_2781
H	2	1380	64.4	+	0	0	36D1344M	tpk:JO40_03810	bip:Bint_2781
H	2	1380	63.4	+	0	0	36D1344M	trm:JO41_04090	bip:Bint_2781
H	2	1389	63.7	+	0	0	45D1344M	tte:TTE1602	bip:Bint_2781
H	1	1401	50.0	+	0	0	39I28M3I301M9D16M15D176M5I35M5D211M3D52M7D23M4I309M3D107M5I27M5D69M54I	vag:N646_3629	asx:CDL62_16620
H	2	1314	53.7	+	0	0	63I251M30D465M5D25MD152M3I385M	van:VAA_01202	bip:Bint_2781
H	2	1419	53.5	+	0	0	42D314M30D465M5D25MD152M3I385M	vau:VANGNB10_cI0734c	bip:Bint_2781
H	0	1434	53.4	+	0	0	27D327M19D23M5D461M4D40MI315M24D189M21I	vca:M892_18930	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vce:Vch1786_II0954	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vcf:IR04_00720	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vch:VCA0161	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vci:O3Y_14228	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vcj:VCD_000086	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vcl:VCLMA_B0143	aba:Acid345_3931
H	0	1419	51.6	+	0	0	8D16M5I329M30D478M8D18MD134M3I168M13D30M11D175M21I	vcm:VCM66_A0159	aba:Acid345_3931
H	0	1419	51.8	+	0	0	8D16M5I329M30D491M9D139M3I184M17D15M7D174M21I	vco:VC0395_1117	aba:Acid345_3931
H	0	1419	51.3	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vcq:EN18_04510	aba:Acid345_3931
H	0	1419	51.8	+	0	0	8D16M5I329M30D491M9D139M3I184M17D15M7D174M21I	vcr:VC395_A0154	aba:Acid345_3931
H	0	1419	51.6	+	0	0	8D16M5I329M30D478M8D18MD134M3I168M13D30M11D175M21I	vcs:MS6_A0141	aba:Acid345_3931
H	0	1398	51.5	+	0	0	6I320M24D473M6D28M3I322M13D28M11D173M24I	vct:JV59_24025	aba:Acid345_3931
H	0	1419	51.5	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vcx:VAA049_1753	aba:Acid345_3931
H	2	1398	56.3	+	0	0	33D302M2D15M22D1024M3I	vcy:IX92_23840	bip:Bint_2781
H	0	1419	51.2	+	0	0	8D16M5I329M30D491M9D139M3I168M13D30M11D175M21I	vcz:VAB027_874	aba:Acid345_3931
H	0	1461	52.2	+	0	0	13M2I6M5D298M7D14M22D30MD478M9D166M2I7MI150M13D11M11D162M12I25M33D	vej:VEJY3_23856	aba:Acid345_3931
H	2	1401	57.6	+	0	0	33D302M25D14MI1027M	vex:VEA_000805	bip:Bint_2781
H	0	1398	54.7	+	0	0	6I320M2D4M10D29M12D440M6D28M3I336M24D187M24I	vfl:AL536_07365	aba:Acid345_3931
H	0	1398	54.9	+	0	0	6I327M12D26M12D452M3D355M24D168MD18M25I	vfu:vfu_B01026	aba:Acid345_3931
H	2	1419	53.6	+	0	0	42D311M30D468MD27M5D150M3I385M	vga:BSQ33_21350	bip:Bint_2781
H	0	1434	53.4	+	0	0	27D327M19D23M5D461M4D40MI315M24D189M21I	vha:VIBHAR_06709	aba:Acid345_3931
H	1	1401	50.5	+	0	0	39I28M3I305M3D15M21D164MI29MD258M7D23M3D24M4I90M3I37M3D179M3D192M2I6MI10M51I	vhr:AL538_20685	asx:CDL62_16620
H	2	1422	52.5	+	0	0	42D311M30D468MD27M5D138M3I397M3D	vmi:AL543_02320	bip:Bint_2781
H	0	1461	51.6	+	0	0	13M3D337M30D471M3D21M6D150M3I172M13D11M11D162M12I25M33D	vna:PN96_15750	aba:Acid345_3931
H	2	1461	53.4	+	0	0	42D311M30D468M6D13MI29MD159M3I347M6D13M36D	vni:VIBNI_A0261	bip:Bint_2781
H	1	1401	50.4	+	0	0	39I28M3I305M15D24M9D155MI34MD253M6D22M4D25M4I81M4D22M4I202M3D99M5I35M5D53M7I11M5I5M42I	vow:A9237_17005	asx:CDL62_16620
